1764068899,ADMIN_DEDUCT,-50,950
1764068899,ADMIN_DEDUCT,-50,900
1764068900,ADMIN_DEDUCT,-50,850
1764068901,ADMIN_DEDUCT,-50,800
1764068902,ADMIN_DEDUCT,-50,750
1764068902,ADMIN_DEDUCT,-50,700
1764068903,ADMIN_DEDUCT,-50,650
1764068904,ADMIN_DEDUCT,-50,600
1764068904,ADMIN_DEDUCT,-50,550
1764068905,ADMIN_DEDUCT,-50,500
1764068906,ADMIN_DEDUCT,-50,450
1764068907,ADMIN_DEDUCT,-50,400
1764068907,ADMIN_DEDUCT,-50,350
1764068908,ADMIN_DEDUCT,-50,300
1764068909,ADMIN_DEDUCT,-50,250
1764068909,ADMIN_DEDUCT,-50,200
1764068910,ADMIN_DEDUCT,-50,150
1764068911,ADMIN_DEDUCT,-50,100
1764068912,ADMIN_DEDUCT,-50,50
1764068912,ADMIN_DEDUCT,-50,0
